imageA,imageB,prediction
A*nGE2S4Xth9EAAAAAAAAAAAAACjV1AA.jpg,A*9eCYRL0rUG4AAAAAAAAAAAAAAQAAAQ.jpg,0.6683450564742088
A*fXw4RY7rLScAAAAAAAAAAAAAAQAAAQ.jpg,A*Hr9_RLtZHocAAAAAAAAAAAAAAQAAAQ.jpg,0.8204285725951195
A*9KURQpaXJBcAAAAAAAAAAAAACjV1AA.jpg,A*ug1FRZL1EYIAAAAAAAAAAAAAAQAAAQ.jpg,0.779840737581253
A*PEndRZJiIvwAAAAAAAAAAAAAAQAAAQ.jpg,A*kqMQTKXWPvu4o0lPgJE13AAAAQAAAQ.jpg,0.9113199189305305
A*7z0KR6Iht6AAAAAAAAAAAAAACjV1AA.jpg,A*q7vdQ6U4LYMAAAAAAAAAAAAAAQAAAQ.jpg,0.6700651496648788
A*iAXWSIe2IR8AAAAAAAAAAAAAAQAAAQ.jpg,A*Q8THT49FyfAAAAAAAAAAAAAAAQAAAQ.jpg,0.7952416837215424
A*aBU_QYPyR2oAAAAAAAAAAAAACjV1AA.jpg,A*RLJcQpzTa5bbiHpMlVJoqAAAAQAAAQ.jpg,0.7016850039362907
A*glFuRZXNpZ0AAAAAAAAAAAAAAQAAAQ.jpg,A*ZsX9Q5lg50Wry3NLjfN62AAAAQAAAQ.jpg,0.8626091852784157
A*Np6kSq97W_wAAAAAAAAAAAAAAQAAAQ.jpg,A*9wszTYbb_3sAAAAAAAAAAAAAAQAAAQ.jpg,0.8395282402634621
A*pZwRQYzj87MAAAAAAAAAAAAAAQAAAQ.jpg,A*BL0NTqS1lLAAAAAAAAAAAAAAAQAAAQ.jpg,0.7548077926039696
A*OVaBTZTtNBkAAAAAAAAAAAAAAQAAAQ.jpg,A*9DDzSb5GvBoAAAAAAAAAAAAAAQAAAQ.jpg,0.7854099571704865
A*7cq9R4802jwAAAAAAAAAAAAACjV1AA.jpg,A*5YahTaf10UAAAAAAAAAAAAAAAQAAAQ.jpg,0.7464153319597244
